,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,(-0.7051295055595954+2.4630331218505814j),(0.00034124547646158867+0.7551817328217921j),(-0.35340559677074507+0.7440571124102721j),(0.18279702055079228+0.3995792098376464j),(-0.19145122016013003+0.8491741487298815j),(0.10158912170131869+0.4020197776981721j),(-0.039078939870378894+0.8129871135381217j),(0.18564811062707345+0.8661998593654768j),(0.041946874837543564+0.8401409512022372j),(8.407982084649227+0.8662051850572219j),(-0.3593821422040397+1.2840849181061287j),(0.5344817149994802+0.7740453537743431j),(0.157893300099481+1.3607384619868759j),(-0.10947371621468761+1.4904489514510935j),(0.04855934298330979+1.3200004450213567j),(-0.07714691482171498+1.2892447389249118j),(0.20723406576225073+1.329520501973108j),(0.19093882455704106+1.503155017492544j),(0.35271125652221985+1.226509083994555j),(0.19271244077111854+1.578844769032671j),(0.7047785053941162+1.3161442566992498j),(0.3354616084212825+1.7078952520964967j),(0.34909438681334726+1.22146942853918j),(5.395942544929254-5.080955811708608j),(0.4504121157521458+3.783252969726164j),(0.3084780522072924+4.834251542311969j),(0.3204114385499938+5.772822868034814j),(-0.24204938971047896+6.514884281001194j)
11,(-0.6711318980188425+2.4851680327175365j),(0.036238990956081026+0.7203290026648523j),(-0.31603863449160907+0.7274244465051385j),(0.12968745104086551+0.3726145412895133j),(0.16778511069656163+0.8718654847131231j),(-0.038265666988131705+0.7264547662692995j),(0.10606221667229229+0.7244889381999623j),(0.10683594799483996+0.9212992046349856j),(0.17173092377815127+0.7342572621368922j),(8.848951281097298+0.870796494787191j),(-0.1170594774565802+1.0969792086760213j),(-0.04386471320468036+1.5047035060780778j),(0.09175857807571547+1.4198434134277813j),(0.19205154407370065+1.364089970543557j),(0.18432481546769983+1.328805560688718j),(-0.21260202520867436+1.5912644525144488j),(0.0874233137049006+1.4786956852220339j),(0.14895942818341396+1.6041835307761556j),(0.34025529583008535+1.6958893218266682j),(0.21853753493407707+1.5922409748491348j),(0.05899447901975671+1.2471974826147256j),(0.20589541678947706+1.5376180695344654j),(-0.11159808705083298+0.804791041672893j),(5.479636996064814-4.797402478415967j),(0.45240048143464834+4.095815631756009j),(0.4496880753626803+4.965107691699173j),(0.4533411146271876+5.9879180881118375j),(-1.1723869779999214+3.985513791188247j)
12,(-0.6345648874506157+2.464382518054907j),(0.03178237958718649+0.7565163484718114j),(-0.35240426865867525+0.7551209058540068j),(0.12084859358066388+0.34080804176475193j),(0.02309048696138528+0.7010616104087394j),(-0.10186855395932856+0.7443788948912055j),(0.40403874096280873+0.715987035343144j),(0.04917059979477531+0.7318792903284488j),(0.11386686011088522+0.7888159973828028j),(9.377010310556564+0.8976428218797299j),(-0.2903977183228571+0.7854693855316667j),(0.13792004430876792+1.3345202537244631j),(0.18499224334997438+1.3219414365056845j),(0.20920976772625177+1.5392925748655202j),(0.22426564254182899+1.3700004593486517j),(-0.13771907977005166+1.6538780880387989j),(0.06146077498248501+1.4900563149576487j),(0.20814134339594423+1.440473330629477j),(0.5213923596304337+1.9791952186160753j),(0.2531969063026899+1.56741623717242j),(-0.2626461285039091+1.6291494149818038j),(-0.04163710962409026+1.7275269243557791j),(0.3045149918323582+1.3286957239576926j),(4.942069006937159-4.60847586494534j),(0.3230361160348049+3.5825455914547764j),(0.31878695753076436+2.615515830004956j),(0.6907461209547067+5.500316781827589j),(2.357328946164188+5.215885855737473j)
13,(-0.6550340988158525+2.494699211643929j),(0.07637059988513635+0.7360618397826131j),(-0.1882839087973613+0.7810307226678177j),(0.1768866451543387+0.41217308807687136j),(0.4288321539369905+0.7444810919446918j),(-0.13811378376299277+0.5756936253515932j),(0.3242103054270954+0.68180777291945j),(-0.00918659437833402+0.6960954733001394j),(0.07965483729403647+0.7814739811656102j),(10.043503540893429+0.7560827845497838j),(-0.21478165580869507+1.0602977302342265j),(0.37373972822533047+1.705651213738114j),(0.15504819083415833+1.231299495884656j),(0.035759145391794124+1.36572366886329j),(0.2509426821634884+1.2062673285255707j),(-0.09500990983719473+1.4084235277923436j),(0.24915651313488357+1.321398696420437j),(0.18253033048256473+1.5571173506310494j),(0.5903290568061805+1.719401707775638j),(0.316591638105123+1.4843083184577428j),(-0.28138798231985734+1.3084934946979447j),(0.3774077305019943+1.5252116438962178j),(0.0804598893837656+1.1884396624442863j),(4.795399192878479-4.315990795734364j),(0.676258065188499+3.598717091087102j),(2.5585236027465093+4.362142539863431j),(0.5824126998055887+5.156985000885492j),(2.0190433245636967+8.007628420620833j)
14,(-0.5128076503214325+2.606413837669785j),(-0.02942117190007356+0.7986694757977116j),(-0.30720036406410545+0.6116966552707697j),(-0.012356528520288351+0.31368360602378464j),(-0.040430253820573706+0.864600310024767j),(0.17277917784138963+0.8910278496265782j),(-0.18298473136465412+0.7711552163008758j),(0.02103149581174372+0.7460586287853276j),(0.017386666642698955+0.7491988368644324j),(10.56565983033298+0.6450607195073675j),(-0.30394226406915575+0.8172560630559957j),(0.4981998360416977+1.3376282428516253j),(0.15516288948757895+1.245138339491411j),(-0.08828402310577983+1.2816407823355702j),(0.002034663152229201+1.2887792184037357j),(-0.15071578732486682+1.4169581945146776j),(0.047283210365517504+1.4908548082266708j),(0.08426614273288201+1.360040585258867j),(-0.3411360706531735+1.7189438347232455j),(-0.014006200681170764+1.5347150964783476j),(-0.20836372504866046+1.047171159024928j),(0.3166900196246102+1.888841674977945j),(-0.44246665948885744+1.170011464543629j),(4.569618340762726-3.919927185884589j),(-0.07586123702869654+3.778756799152546j),(-0.45183663951744646+3.426948494784084j),(0.4604236183063191+5.487570825014912j),(-1.500793460916185+4.885079541107936j)
15,(-0.6979048521699217+2.5965266648120995j),(0.11050880153766432+0.7511735349362262j),(-0.26802237664266904+0.7252214812796993j),(0.142962677205738+0.4763436304569816j),(0.09080694784441018+0.3810375545324542j),(-0.016200207758907664+0.46201671438026803j),(0.11718123221326+1.0288649557702827j),(0.08616740329739847+0.8268896342052875j),(-0.002513446597086516+0.7815264315850498j),(11.241163482849453+0.6711569030244111j),(-0.1729231741012657+0.7391189721339524j),(0.22429235839884873+1.56064856338582j),(0.14245525578546883+1.5251291386057153j),(0.06962205875008194+1.6992087166954004j),(0.03528430587951746+1.2217927583347492j),(-0.19454927082357099+1.5843186313969229j),(-0.10143805051030934+1.4931670277619626j),(0.03909919797154729+1.6447854186229345j),(-0.08786972025784816+1.922430549534802j),(0.12217844210735705+1.6200797463157068j),(0.2051487366897114+1.5391210514240152j),(0.2749034257064127+1.6738181564285537j),(-0.18853060935314433+1.2992454348123372j),(4.287032004361733-3.7973011408669155j),(0.257986391553018+3.930202063509353j),(1.2727548606311254+4.557119895645407j),(0.23113405716770175+6.0535388254755675j),(-1.1542719593760113+9.231489128519149j)
16,(-0.5961705373833165+2.5588068195517018j),(0.1382243869760686+0.6318000445552155j),(-0.27700540693667336+0.721220404300922j),(0.10039898743945803+0.3650137573690166j),(0.017620535737787796+0.5184868012607061j),(-0.31029440916842105+0.7820345040901056j),(0.07869084340814811+0.6933287326668465j),(0.11233863506300533+0.7926215251967655j),(0.052297894279737196+0.8393730654715108j),(12.338531009548811+0.4853849127855131j),(0.35561707177840585+1.3544951007586568j),(-0.07641841330387072+1.302609830801613j),(0.12401159138822342+1.225861677148298j),(0.296553922418001+1.6328954547054857j),(-0.02294370670854903+1.4883178655189626j),(-0.1537903927334244+1.6553319331145906j),(0.25965966769393256+1.516633953384622j),(0.11829850405210321+1.356237520419853j),(0.3174158793158582+1.4646228291601542j),(0.06453897790837655+1.4653867958816562j),(0.25851032314181976+1.6704025055073997j),(0.37780140108318755+2.178544811318286j),(-0.16944870040622878+1.3855062705427814j),(4.180530717348837-3.607068615155733j),(0.40474668191227764+3.9917154003481214j),(-0.07726826860891192+4.5212802804796715j),(0.7871034275747072+5.825470379877153j),(1.1329746961012424+6.5915853669128195j)
17,(-0.6194034089203656+2.544857590012928j),(-0.00804585067154546+0.8612535173391309j),(-0.3501824594513173+0.6703080858171439j),(0.07842633615522053+0.41924899849588465j),(-0.03663652360357033+1.024393687144448j),(0.23346564169207812+0.9557820423690125j),(0.09393210470707833+0.8652679072218631j),(0.04073199673501429+0.7952574328668625j),(0.0808498849184961+0.8741035572855312j),(13.341039814636533+0.468535045776012j),(-0.006364086954499546+0.8739528685991552j),(0.1272282934177151+1.4163331050313082j),(-0.026530964002351685+1.37748842909108j),(-0.025679819634090207+1.821552897368376j),(0.21969447422851393+1.4116683674222932j),(-0.21677330850526655+1.576920954233184j),(0.049456218678527425+1.6978190900309407j),(-0.07952820566993592+1.3938211230632485j),(-0.07878606049722797+1.6577510848667723j),(0.06406171366157504+1.6690706783759781j),(0.20295653382297776+1.8359084195333135j),(-0.08751790180661201+2.1108469162345926j),(-0.2065668307807989+1.2773675088852345j),(4.154716468613394-3.235595576821205j),(0.4194933179365205+3.8482236357797635j),(-0.41898032521767165+2.549227207683749j),(0.09268611434085863+5.886594880397996j),(-0.10993496304204654+5.826332008566037j)
18,(-0.5648299259432039+2.6836114686614163j),(0.031169355636878057+0.924304576251787j),(-0.36991135711711787+0.7005105948966237j),(0.1496172933912488+0.4627940825083061j),(0.1418949294998207+0.5352155517650304j),(0.10823242362482229+0.9502374436614063j),(0.10976785824586406+0.825763121532669j),(0.032188585994473044+0.7429996690625279j),(0.10975610892811044+0.7999957624608109j),(14.619924998578737+0.17413887927153177j),(-0.0866249315588491+1.4100798894852196j),(0.2344772920306527+1.182463341542458j),(0.24014625038383935+1.3554416251025514j),(0.11702337360996175+1.735620498036349j),(0.18951036670799443+1.5494469674744116j),(0.31557037180092806+1.4225678901839225j),(0.1658771557840967+1.4690792208715702j),(0.163303461514675+1.754497573410441j),(0.42131747364344657+1.4872122682419846j),(0.17682502972910602+1.6925528955044187j),(0.39274162225076553+1.8533017842707125j),(0.2684391872680727+2.2250736779244717j),(0.06046584501005316+1.3101614526238337j),(4.061518396607961-2.8073475673258335j),(0.49959876501575473+4.2594100502563315j),(-0.6737095968351728+4.407010086142828j),(0.8182747437222526+6.117288542694657j),(1.3377845157159247+13.0536867096541j)
19,(-0.6379834985758721+2.6386558266402864j),(-0.1069201484393403+0.8317645808897776j),(-0.3517404606969793+0.6764064829089259j),(-0.006886492904679298+0.373603451358111j),(-0.10850501179176134+0.4659313319996374j),(-0.46273616643357124+1.1965924688924647j),(-0.06333788314288194+0.8697500362773504j),(0.028811223449821587+0.9088050196717764j),(0.11563357650374169+0.8437648982735032j),(16.005396402670247-0.20464980488155088j),(-0.035572379603632+1.1274174168097892j),(0.30002004594101717+1.0893875842846668j),(0.07027918669289572+1.303764189453177j),(-0.21164099103736167+1.9452102344172941j),(0.23160835586781264+1.5303884336767657j),(-0.0523557905453917+1.811396517999236j),(0.24552077904637212+1.380654200588772j),(0.19003519461546647+1.448042276573069j),(0.2413595002131141+1.8867886710952384j),(0.15805664110367337+1.5875224913482258j),(0.24237248684930465+1.3951571358234722j),(0.16145685480737773+2.1258677260093144j),(0.6526628703839159+1.5005434766751724j),(3.7447691504457032-3.0078188594910507j),(0.19832064686550552+4.190335562230504j),(0.2515826350203697+3.902816095639002j),(0.5476067672097684+5.80939820719476j),(2.3926898101467864+8.042394924530788j)
